station_id,store_1,store_2,store_3,store_4,store_5,store_6,store_7,store_8,store_9,store_10,store_11,store_12,store_13,store_14,store_15,store_16,store_17,store_18,store_19,store_20
d0e8f4f1834b7b33a3faf8882f567ab8,"('-EpmBwODsvQ6gHx2IuVO5w', 37.85001740687401, -122.27053198326358)","('OjMumhyL26n5fDZ2CQLnyg', 37.850300662973346, -122.27126646102298)","('LP6NBMIa3dxinjgtOxMEZg', 37.85004, -122.27053)","('guObf4lR-TsRD1IHJni06g', 37.849494934082, -122.271636962891)","('3twXqUphnT3qi4ThSzQwQQ', 37.8492637746169, -122.271557673812)",,,,,,,,,,,,,,,
983514094dd808b1604da2dcfc2d09af,"('berEiBE0fDM-HiYFEAf-Ww', 37.3361378, -121.889591)","('qArqv7Sl3-kz7m-I0-pyuw', 37.336263, -121.889648)","('-A2EzuWuOhzGW2mkzr9sLg', 37.33638, -121.88988)","('KZM6GxmdYak3ahLUJuWmZw', 37.3367777, -121.8890072)","('MPFAFExDFTLzs-ItB7pD6A', 37.336243, -121.889852)","('bwEFBcw8y30lqtAMWXLPxg', 37.3352859388708, -121.88993498683)","('ND5BY7eKMCeeu2kcQEwXxg', 37.3369298871105, -121.889421168717)","('RMsYXfBmpmAye5a9IyN2SA', 37.33668, -121.88895)","('umMDGhsrt-Zhv6ZIw1aPdw', 37.3369476067549, -121.889988542328)","('HzReUs8NWZN15ntyHfH-mA', 37.336321680671986, -121.88994384395808)","('lhh0RQP0SRd1YTKwkEKZCg', 37.335379312495746, -121.8902598863871)","('pWUaPh4yHqe6GekSzJzcug', 37.3370318639, -121.889120772981)","('e-f4l-iml9QbM50REiR0rQ', 37.335288, -121.8899795)","('LmBPTn52vSmaCTpKnwSJ4A', 37.336807066738864, -121.8889264)","('SQPgbmrj0swjj_b5UyiCPA', 37.335419, -121.889781)","('k6G6EMUaDEMZ03ZSG4U9Tw', 37.33544000053426, -121.88985251165673)","('zSA32AX3KUury9bjYhZhAQ', 37.3361645751218, -121.889169216156)","('NmLkRCu1NnxcsiowhlcPrw', 37.3363299, -121.88901)","('2jq8ttClZhtfQS4psBwahw', 37.3353147292992, -121.890110000968)","('8ype6-KH6iSNQijrRSgRmg', 37.3353183364266, -121.89020362795)"
da17603652106fda93da4e255a5b0a22,,,,,,,,,,,,,,,,,,,,
7a21c92b3b4cd2f7759107b4fdebf869,"('5bWsqTiJ-WiLz0tdMwBg7Q', 37.3234314189821, -121.874197502633)",,,,,,,,,,,,,,,,,,,
ce34d38fb230a23c1ced12d1e16df294,,,,,,,,,,,,,,,,,,,,
a3b487ad4ac93ab3e9f9654f87ed8c1e,,,,,,,,,,,,,,,,,,,,
b4b0088fb4fbb4587cad9d89ddc092cd,"('foY-KOyM6pEQL2mjPBu-Sg', 37.32783, -121.88393)","('RVEG4vkokV3jVMbiRJO84Q', 37.3282356262207, -121.884239196777)","('J6GB0OHhqRY1BjWtvcmJzw', 37.32658, -121.8837)","('FB_aqD3tQa7rTARk9sPe5g', 37.32807259962214, -121.8841176705522)","('d4_vZ9OMzGunND6KH_xdHw', 37.32827777315491, -121.88485928463784)",,,,,,,,,,,,,,,
d576652cc151c23d6ec52b8454429d47,"('KoKgjlFjWjssT2QRQK3vfQ', 37.332575380059, -121.876081317791)","('VWJK3CgcgsPPZ2fAQ5SG1w', 37.3328427, -121.8755921)","('9s_jn5dYkpCwRUU3Gm7OXQ', 37.33267, -121.87535)","('4gmDsMXsH_6vTB_Bjysu9g', 37.3330919691377, -121.875863783062)","('Ag81Mwhyz9rO6MtBeYcAng', 37.33317432398239, -121.87487650006943)","('m5mXK9glriFIoSEv46LxgA', 37.33346, -121.87528)","('bzTYLDtFmDRet-KPCX9YIg', 37.333192, -121.874866)","('hJPv2379KBH7kcuqBoPQPA', 37.33302633, -121.87506183)","('tBCKLFlmSCD14SCVhhNh-Q', 37.33290803685919, -121.87552719595116)","('Puomhb07PTVBn8jrZ9p0pg', 37.33298933350468, -121.87509834766388)","('epYAnxgJ4TLI8LbJM9FHpg', 37.333006, -121.875034)","('dkx0D3Mj7N_CHQcO_9D4ZQ', 37.3326758, -121.8753175)","('6d13tYcHtKQ1yOdgNEwdJg', 37.3337173461914, -121.875396728516)",,,,,,,
0a24b6ab9ca6684780b6682901b3c680,,,,,,,,,,,,,,,,,,,,
a4b234ab072402cbfcbd5e306588d9a9,"('f5QnE4pSuseubDHFIf47BA', 37.3414933526761, -121.90295975439764)","('st5qY3_3ZzkBzCSHoyCbWw', 37.34147, -121.90299)","('NmUaXgGCi4k8AMByVM13dQ', 37.34050662548156, -121.90402520418796)","('FEMshd2FFsrb1NhdB4QuVA', 37.34095832689801, -121.9042358228896)",,,,,,,,,,,,,,,,
