empty_slots,free_bikes,station_id,latitude_x,longitude_x,name,timestamp,extra_ebikes,extra_has_ebikes,extra_last_updated,extra_payment,extra_payment-terminal,extra_rental_uris_android,extra_rental_uris_ios,extra_renting,extra_returning,extra_slots,extra_uid,extra_address,longitude_y,latitude_y,elevation,avg_venue_elev_100m,venue_id_count,max_venue_elev,min_venue_elev,average_elevation_delta,station_size,free_reg_bikes,ebike_use_ratio,venue_range,station_avg_uphill_yes
1,13,d0e8f4f1834b7b33a3faf8882f567ab8,37.849735,-122.270582,Harmon St at Adeline St,2023-08-22T02:33:57.545000Z,0,True,1692671559,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,15,fd89514c-f878-4cd5-8113-8e5beead44de,,-122.270582,37.849735,32.928356171,32.567100906600004,5.0,33.525722504,31.480895996,0.36125526439999334,14,13,0.0,2.044826508,1
6,5,983514094dd808b1604da2dcfc2d09af,37.33618830029063,-121.8892765045166,Fountain Alley at S 2nd St,2023-08-22T02:33:57.120000Z,0,True,1692671546,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,11,d12ba265-5bfe-4a00-a19a-a7299822bd65,,-121.8892765045166,37.33618830029063,25.925880432,26.200848155444444,18.0,26.928068161,25.611631393,-0.2749677234444441,11,5,0.0,1.316436767999999,0
12,11,da17603652106fda93da4e255a5b0a22,37.322124625448566,-121.88109040260316,Oak St at 1st St,2023-08-22T02:33:57.524000Z,0,True,1692671450,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,23,0fd9a51c-67ac-4048-b531-bff644b82f47,,-121.88109040260316,37.322124625448566,31.710926056,31.710926056,0.0,31.710926056,31.710926056,0.0,23,11,0.0,0.0,1
14,0,7a21c92b3b4cd2f7759107b4fdebf869,37.3236779,-121.8741186,Bestor Art Park,2023-08-22T02:33:57.243000Z,0,True,1692671557,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,15,46b4ef45-b06b-40eb-9fdf-9bc8ff104a4f,,-121.8741186,37.3236779,30.782371521,30.878814697,1.0,30.878814697,30.878814697,-0.09644317599999752,14,0,,0.0,0
24,2,ce34d38fb230a23c1ced12d1e16df294,37.3259984,-121.87712,5th St at Virginia St,2023-08-22T02:33:57.456000Z,1,True,1692671522,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,27,bb54f5c8-5578-4167-9599-8e55154de4fd,,-121.87712,37.3259984,30.175741196,30.175741196,0.0,30.175741196,30.175741196,0.0,26,1,1.0,0.0,1
17,0,a3b487ad4ac93ab3e9f9654f87ed8c1e,37.3229796,-121.8879312,Locust St at Grant St,2023-08-22T02:33:57.502000Z,0,True,1692671479,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,18,676591be-48bc-4653-995a-c4536e793135,,-121.8879312,37.3229796,29.361589432,29.361589432,0.0,29.361589432,29.361589432,0.0,17,0,,0.0,1
16,11,b4b0088fb4fbb4587cad9d89ddc092cd,37.327581,-121.884559,Pierce Ave at Market St,2023-08-22T02:33:57.336000Z,1,True,1692671555,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,27,d6c452d5-88d5-48e2-8028-d46134c2beb8,,-121.884559,37.327581,29.094491959,29.343524932999998,3.0,29.738620758,29.028940201,-0.24903297399999857,27,10,0.1,0.7096805569999987,0
17,4,d576652cc151c23d6ec52b8454429d47,37.3327938,-121.8759263,William St at 10th St,2023-08-22T02:33:57.511000Z,0,True,1692671542,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,23,753e3e72-9498-4eef-a006-be1848cb36b3,,-121.8759263,37.3327938,27.797445297,28.184641361166666,12.0,28.352495193,28.088235855,-0.3871960641666661,21,4,0.0,0.2642593379999987,0
13,6,0a24b6ab9ca6684780b6682901b3c680,37.3448821,-121.8969655,Empire St at 1st St,2023-08-22T02:33:57.173000Z,2,True,1692671558,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,19,7d8f4de7-d726-4af2-95b5-33032136239a,,-121.8969655,37.3448821,23.350780487,23.350780487,0.0,23.350780487,23.350780487,0.0,19,4,0.5,0.0,1
5,10,a4b234ab072402cbfcbd5e306588d9a9,37.3413348,-121.9031829,Autumn Parkway at Coleman Ave,2023-08-22T02:33:57.530000Z,0,True,1692671480,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,15,3ebc4f3f-2941-47cd-a173-83f01a91bf57,,-121.9031829,37.3413348,22.586671829,22.7717375755,4.0,23.486724854,22.311861038,-0.18506574650000118,15,10,0.0,1.1748638159999985,0
16,14,c7d58812e5bcf9183e20ec387d0386a9,37.80781318217903,-122.26449608802795,Snow Park,2023-08-22T02:33:57.403000Z,0,True,1692671459,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,31,5fdc3d6d-e9c8-47cf-874e-d2f012cfb217,,-122.26449608802795,37.80781318217903,3.24429059,3.9100079535,2.0,3.990750074,3.829265833,-0.6657173635000002,30,14,0.0,0.16148424100000014,0
0,15,ade8fb7d8bab829cc6b2b752c02882ff,37.8110807,-122.2432677,Lakeshore Ave at Trestle Glen Rd,2023-08-22T02:33:57.399000Z,0,True,1692671546,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,15,717e6e13-e1b2-4c13-944d-823a556c1635,,-122.2432677,37.8110807,4.777815819,27.966212922999997,11.0,185.737365723,4.508939266,-23.188397103999996,15,15,0.0,181.228426457,0
11,11,3a9baba8738c921ad820add914d8d365,37.80889393398715,-122.25646018981932,Grand Ave at Perkins St,2023-08-22T02:33:57.210000Z,0,True,1692671548,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,23,d5eedd49-f998-4b8a-9d1a-22853da216aa,,-122.25646018981932,37.80889393398715,7.227582932,7.7702827931,10.0,9.185735703,6.97618866,-0.5426998611,22,11,0.0,2.2095470430000006,0
12,3,8870d1c76fa018d1758fad83f2be5237,37.8305452,-122.2739367,Market St at 40th St,2023-08-22T02:33:57.118000Z,0,True,1692671486,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,15,316f6785-47aa-4e37-b81b-3cf829bf5120,,-122.2739367,37.8305452,18.587648392,18.587648392,0.0,18.587648392,18.587648392,0.0,15,3,0.0,0.0,1
19,3,a840a66dcf537eb53ff86c7ed469f491,37.8302232,-122.2709501,West St at 40th St,2023-08-22T02:33:57.426000Z,0,True,1692671514,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,23,b6e253b2-285d-4363-ae46-24e7c221cc08,,-122.2709501,37.8302232,21.624658585,21.624658585,0.0,21.624658585,21.624658585,0.0,22,3,0.0,0.0,1
7,12,315bd655b7cf06f4cf2e3c78879043e4,37.8127441,-122.2472152,Grand Ave at Santa Clara Ave,2023-08-22T02:33:57.408000Z,0,True,1692671530,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,19,1c2e5680-719b-4674-9837-092c367594ba,,-122.2472152,37.8127441,4.015994072,4.318576489142857,14.0,5.667294979,3.57239747,-0.3025824171428573,19,12,0.0,2.0948975090000004,0
0,19,c58c5e00d5caeb09fab3509a349ac2ce,37.85578332030199,-122.28312671184538,San Pablo Park,2023-08-22T02:33:57.443000Z,0,True,1692671501,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,19,4a6b5ab4-b2d8-4657-b93f-a71bc7007283,,-122.28312671184538,37.85578332030199,20.074607849,20.207366943,1.0,20.207366943,20.207366943,-0.13275909400000074,19,19,0.0,0.0,0
17,2,55389695e3090fea977edbe85a0b7dfc,37.85557366182879,-122.2635653614998,Fulton St at Ashby Ave,2023-08-22T02:33:57.203000Z,0,True,1692671500,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,19,4d1990b2-f487-43be-b436-018ad73ab0dd,,-122.2635653614998,37.85557366182879,51.243385315,51.243385315,0.0,51.243385315,51.243385315,0.0,19,2,0.0,0.0,1
12,8,81cc789c1070340c1930450769536ea2,37.8575672,-122.2675583,Oregon St at Adeline St,2023-08-22T02:33:57.513000Z,0,True,1692671476,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,20,ef04d469-63f4-464a-946f-056da6318051,,-122.2675583,37.8575672,44.004207611,44.159854889,1.0,44.159854889,44.159854889,-0.15564727800000355,20,8,0.0,0.0,0
